Group,Scheme,Sub Scheme Name,Programme Name,Sub Programme Name,Major Head Code,Actuals 2020-2021,Budget 2021-2022,Revised 2021-2022,Budget 2022-2023
Tax Revenue,Corporation Tax,Collections,NA,NA,20,412013.46,473365.39,549519.23,623076.92
Tax Revenue,Corporation Tax,Surcharge,NA,NA,20,14078.58,52596.15,61057.69,69230.77
Tax Revenue,Corporation Tax,Health and Education Cess,NA,NA,20,17795.16,21038.46,24423.08,27692.31
Tax Revenue,Corporation Tax,Penalties,NA,NA,20,79.47,NA,NA,NA
Tax Revenue,Corporation Tax,Interest Recoveries,NA,NA,20,1754.61,NA,NA,NA
Tax Revenue,Corporation Tax,Tax on Discounted Profits of Domestic Companies,NA,NA,20,3800.98,NA,NA,NA
Tax Revenue,Corporation Tax,Tax on Distributed Income to Unit Holders,NA,NA,20,8007.03,NA,NA,NA
Tax Revenue,Corporation Tax,Miscellaneous Receipts,NA,NA,20,189.68,NA,NA,NA
NA,Total-Corporation Tax,NA,NA,NA,NA,457718.97,547000,635000,720000
Tax Revenue,Taxes on Income,Collections,NA,NA,21,442607.02,474663.47,514903.85,588461.54
Tax Revenue,Taxes on Income,Surcharge,NA,NA,21,5537.78,52740.38,57211.53,65384.61
Tax Revenue,Taxes on Income,Health and Education Cess,NA,NA,21,18026.39,21096.15,22884.62,26153.85
Tax Revenue,Taxes on Income,Penalties,NA,NA,21,146.56,NA,NA,NA
Tax Revenue,Taxes on Income,Interest Recoveries,NA,NA,21,3717.67,NA,NA,NA
Tax Revenue,Taxes on Income,Tax Under Black Money,NA,NA,21,6.64,NA,NA,NA
Tax Revenue,Taxes on Income,Miscellaneous Receipts,NA,NA,21,349.18,NA,NA,NA
Tax Revenue,Taxes on Income,Security Transaction Tax,NA,NA,34,16926.99,12500,20000,20000
Tax Revenue,Taxes on Income,Hotel Receipts Tax,NA,NA,23,0.3,NA,NA,NA
Tax Revenue,Taxes on Income,Interest Tax,NA,NA,24,2.36,NA,NA,NA
Tax Revenue,Taxes on Income,Fringe Benefit Tax,NA,NA,26,-181.86,NA,NA,NA
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,Expenditure Tax,NA,28,4.55,NA,NA,NA
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,"Income Declaration Scheme, 2016",NA,28,0.12,NA,NA,NA
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,Other Receipts,NA,28,NA,NA,NA,NA
NA,NA,Total-Other Taxes on Income and Expenditure,NA,NA,NA,4.67,NA,NA,0
Tax Revenue,Taxes on Income,Krishi Kalyan Cess,NA,NA,28,0.01,NA,NA,NA
